method,sel,d_1M,pct_1M,ci_1M,d_8M,pct_8M,ci_8M,d_SIFT_1M,pct_SIFT_1M,ci_SIFT_1M,d_attenuation_DEEP,d_skew_uplift
hilbert,0.01,-0.0716,9.861,True,-0.0648,10.054,True,0.0158,12.839,True,-0.0068000000000000005,0.0874
hilbert,0.05,-0.1893,-1.823,True,-0.2183,-2.44,True,-0.2333,-2.88,True,0.028999999999999998,-0.04400000000000001
hilbert,0.1,-0.1425,-0.971,True,-0.2357,-2.207,True,-0.4804,-7.058,True,0.0932,-0.3379
hilbert,0.3,-0.1785,-1.037,True,-0.2109,-1.113,True,-0.7466,-6.239,True,0.03240000000000001,-0.5681
hilbert,0.5,-0.1827,-0.735,True,-0.1419,-0.484,True,-0.7506,-4.278,True,-0.0408,-0.5679000000000001
hybrid,0.01,-0.06,10.446,True,-0.0185,12.544,True,-0.0566,7.926,True,-0.041499999999999995,0.0034000000000000002
hybrid,0.05,-0.2238,-2.509,True,-0.195,-1.917,True,-0.279,-4.333,True,-0.028799999999999992,-0.05520000000000003
hybrid,0.1,-0.263,-2.773,True,-0.1988,-1.728,True,-0.5687,-8.467,True,-0.06420000000000001,-0.30569999999999997
hybrid,0.3,-0.2149,-1.304,True,-0.1923,-1.025,True,-0.8681,-7.01,True,-0.02260000000000001,-0.6532
hybrid,0.5,-0.2214,-0.93,True,-0.1503,-0.524,True,-0.8509,-4.802,True,-0.07110000000000002,-0.6295
minibatch_partial,0.01,-0.1073,6.853,True,-0.007,13.151,True,0.0519,16.372,True,-0.1003,0.1592
minibatch_partial,0.05,-0.2353,-2.784,True,-0.1914,-2.072,True,-0.1874,-1.833,False,-0.04390000000000002,0.0479
minibatch_partial,0.1,-0.2359,-2.263,True,-0.2076,-1.976,True,-0.5463,-8.023,True,-0.028299999999999992,-0.3104
minibatch_partial,0.3,-0.2262,-1.36,True,-0.2138,-1.14,True,-0.8052,-6.818,True,-0.012400000000000022,-0.579
minibatch_partial,0.5,-0.2355,-0.987,True,-0.1539,-0.539,True,-0.7952,-4.634,True,-0.08159999999999998,-0.5597000000000001
hdbscan,0.01,-0.0558,11.165,True,-0.0201,13.508,True,0.0491,16.465,True,-0.0357,0.1049
hdbscan,0.05,-0.2092,-2.363,True,-0.1864,-1.755,True,-0.2885,-4.226,True,-0.022799999999999987,-0.07929999999999998
hdbscan,0.1,-0.2366,-2.421,True,-0.2334,-2.131,True,-0.5575,-8.554,True,-0.0032000000000000084,-0.32089999999999996
hdbscan,0.3,-0.2128,-1.259,True,-0.2273,-1.253,True,-0.8614,-7.065,True,0.014500000000000013,-0.6486000000000001
hdbscan,0.5,-0.2704,-1.149,True,-0.0732,-0.216,False,-0.8251,-4.684,True,-0.1972,-0.5547
